Hotel Chain,Location,Month,Year,$/night
Peninsula Hotels,Magnificent Mile,July,"$2,025",$825
Peninsula Hotels,Magnificent Mile,October,"$2,024",$710
Peninsula Hotels,Magnificent Mile,January,"$2,025",$480
Langham Hotels,River North,August,"$2,025",$695
Langham Hotels,River North,March,"$2,025",$420
Langham Hotels,River North,December,"$2,024",$380
Four Seasons,Magnificent Mile,August,"$2,025",$740
Four Seasons,Magnificent Mile,January,"$2,025",$510
Four Seasons,Magnificent Mile,May,"$2,025",$620
Hilton Hotels,The Loop,June,"$2,025",$345
Hilton Hotels,The Loop,February,"$2,025",$185
Hilton Hotels,The Loop,September,"$2,024",$295
Marriott Bonvoy,River North,August,"$2,025",$410
Marriott Bonvoy,River North,December,"$2,024",$220
Marriott Bonvoy,River North,April,"$2,025",$310
Hyatt Hotels,West Loop,October,"$2,024",$495
Hyatt Hotels,West Loop,July,"$2,025",$440
Hyatt Hotels,West Loop,March,"$2,025",$275
IHG (InterContinental),Streeterville,June,"$2,025",$385
IHG (InterContinental),Streeterville,January,"$2,025",$165
IHG (InterContinental),Streeterville,November,"$2,024",$190
Loews Hotels,Streeterville,July,"$2,025",$450
Loews Hotels,Streeterville,February,"$2,025",$210
Loews Hotels,Streeterville,May,"$2,025",$320
Sonesta Hotels,The Loop,June,"$2,025",$295
Sonesta Hotels,The Loop,February,"$2,025",$145
Marriott Bonvoy,McCormick Place,September,"$2,024",$315
Marriott Bonvoy,McCormick Place,January,"$2,025",$140
Hilton Hotels,Gold Coast,July,"$2,025",$365
Hilton Hotels,Gold Coast,February,"$2,025",$195
