Hotel Chain,Location,Date,Starting Rate ($/night),Negotiated Rate ($/night),Initial Proposed Rate ($/night)
Hilton Hotels,The Loop,2025-10-12,$380,$310,$285
Marriott Bonvoy,River North,2025-06-15,$425,$355,$320
Hyatt Hotels,West Loop,2025-03-22,$295,$245,$220
IHG Hotels,Streeterville,2024-11-05,$210,$165,$150
Loews Hotels,Streeterville,2025-07-18,$490,$415,$380
Peninsula Hotels,Magnificent Mile,2025-01-10,$550,$470,$425
Sonesta Hotels,The Loop,2025-08-02,$315,$240,$210
Langham Hotels,River North,2024-12-14,$480,$410,$375
Four Seasons,Magnificent Mile,2025-02-28,$610,$545,$500
Marriott Bonvoy,McCormick Place,2025-09-11,$340,$285,$260
Hilton Hotels,Gold Coast,2025-04-05,$320,$260,$235
Hyatt Hotels,Magnificent Mile,2024-10-25,$405,$335,$300
IHG Hotels,The Loop,2025-05-19,$290,$230,$210
Loews Hotels,Streeterville,2025-03-01,$245,$195,$180
Sonesta Hotels,River North,2025-07-22,$360,$290,$265
Marriott Bonvoy,The Loop,2024-11-20,$225,$185,$170
Hilton Hotels,Streeterville,2025-06-08,$395,$320,$290
Hyatt Hotels,West Loop,2025-02-14,$215,$175,$160
Peninsula Hotels,Magnificent Mile,2025-08-30,$780,$680,$620
IHG (Kimpton),River North,2025-04-12,$310,$250,$230
